Starting WebP conversion for images in public/CoupleImage...
Found 239 JPG files to convert
[1/239] Already exists: couple_100.webp
[177/239] Converted: couple_37.jpg -> couple_37.webp
[178/239] Converted: couple_38.jpg -> couple_38.webp
[179/239] Converted: couple_39.jpg -> couple_39.webp
[180/239] Converted: couple_40.jpg -> couple_40.webp
[181/239] Converted: couple_41.jpg -> couple_41.webp
[182/239] Converted: couple_42.jpg -> couple_42.webp
[183/239] Converted: couple_43.jpg -> couple_43.webp
[184/239] Converted: couple_44.jpg -> couple_44.webp
[185/239] Converted: couple_45.jpg -> couple_45.webp
[186/239] Converted: couple_46.jpg -> couple_46.webp
[187/239] Converted: couple_47.jpg -> couple_47.webp
[188/239] Converted: couple_48.jpg -> couple_48.webp
[189/239] Converted: couple_49.jpg -> couple_49.webp
[190/239] Converted: couple_50.jpg -> couple_50.webp
[191/239] Converted: couple_51.jpg -> couple_51.webp
[192/239] Converted: couple_52.jpg -> couple_52.webp
[193/239] Converted: couple_53.jpg -> couple_53.webp
[194/239] Converted: couple_54.jpg -> couple_54.webp
[195/239] Converted: couple_55.jpg -> couple_55.webp
[196/239] Converted: couple_56.jpg -> couple_56.webp
[197/239] Converted: couple_57.jpg -> couple_57.webp
[198/239] Converted: couple_58.jpg -> couple_58.webp
[199/239] Converted: couple_59.jpg -> couple_59.webp
[200/239] Converted: couple_60.jpg -> couple_60.webp
[201/239] Converted: couple_61.jpg -> couple_61.webp
[202/239] Converted: couple_62.jpg -> couple_62.webp
[203/239] Converted: couple_63.jpg -> couple_63.webp
[204/239] Converted: couple_64.jpg -> couple_64.webp
[205/239] Converted: couple_65.jpg -> couple_65.webp
[206/239] Converted: couple_66.jpg -> couple_66.webp
[207/239] Converted: couple_67.jpg -> couple_67.webp
[208/239] Converted: couple_68.jpg -> couple_68.webp
[209/239] Converted: couple_69.jpg -> couple_69.webp
[210/239] Converted: couple_70.jpg -> couple_70.webp
[211/239] Converted: couple_71.jpg -> couple_71.webp
[212/239] Converted: couple_72.jpg -> couple_72.webp
[213/239] Converted: couple_73.jpg -> couple_73.webp
[214/239] Converted: couple_74.jpg -> couple_74.webp
[215/239] Converted: couple_75.jpg -> couple_75.webp
[216/239] Converted: couple_76.jpg -> couple_76.webp
[217/239] Converted: couple_77.jpg -> couple_77.webp
[218/239] Converted: couple_78.jpg -> couple_78.webp
[219/239] Converted: couple_79.jpg -> couple_79.webp
[220/239] Converted: couple_80.jpg -> couple_80.webp
[221/239] Converted: couple_81.jpg -> couple_81.webp
[222/239] Converted: couple_82.jpg -> couple_82.webp
[223/239] Converted: couple_83.jpg -> couple_83.webp
[224/239] Converted: couple_84.jpg -> couple_84.webp
[225/239] Converted: couple_85.jpg -> couple_85.webp
[226/239] Converted: couple_86.jpg -> couple_86.webp
[227/239] Converted: couple_87.jpg -> couple_87.webp
[228/239] Converted: couple_88.jpg -> couple_88.webp
[229/239] Converted: couple_89.jpg -> couple_89.webp
[230/239] Converted: couple_90.jpg -> couple_90.webp
[231/239] Converted: couple_91.jpg -> couple_91.webp
[232/239] Converted: couple_92.jpg -> couple_92.webp
[233/239] Converted: couple_93.jpg -> couple_93.webp
[234/239] Converted: couple_94.jpg -> couple_94.webp
[235/239] Converted: couple_95.jpg -> couple_95.webp
[236/239] Converted: couple_96.jpg -> couple_96.webp
[237/239] Converted: couple_97.jpg -> couple_97.webp
[238/239] Converted: couple_98.jpg -> couple_98.webp
[239/239] Converted: couple_99.jpg -> couple_99.webp
Conversion complete! Processed 239 images.
